,words,sentiment
781,doodt,[-1]
782,doof,[-1]
783,doorbraak,[1]
784,doorbraken,[1]
785,doorbreken,[-1]
786,doordacht,[1]
787,doorschijnend,[1]
788,doorslaand,[1]
789,doorslaggevend,[1]
790,doorzichtig,[1]
791,dor,[-1]
792,dorst,[-1]
793,dove,[-1]
794,doven,[-1]
795,draagbaar,[1]
796,draagvermogen,[-1]
797,draai,[-1]
798,draaien,[-1]
799,drag,[-1]
800,drang,[-1]
801,drastisch,[-1]
802,dreigen,[-1]
803,dreigend,[-1]
804,dreigende,[-1]
805,drietal,[-1]
806,drijvend,[1]
807,dringend,[-1]
808,droefheid,[-1]
809,droevig,[-1]
810,drogreden,[-1]
811,drogredenen,[-1]
812,dromer,[1]
813,drones,[-1]
814,dronkaard,[-1]
815,dronken,[-1]
816,droog,[-1]
817,droogte,[-1]
818,drugs,[-1]
819,druk,[-1]
820,dubbelzinnig,[-1]
821,dubbelzinnigheid,[-1]
822,dubieus,[-1]
823,duidelijk,[1]
824,duidelijker,[1]
825,duister,[-1]
826,duisternis,[-1]
827,duivel,[-1]
828,duivels,[-1]
829,dump,[-1]
830,dumpen,[-1]
831,dun,[-1]
832,dupe,[-1]
833,duur,[-1]
834,duurzaam,[1]
835,duurzaamheid,[1]
836,duurzame,[1]
837,dwaalgast,[-1]
838,dwaas,[-1]
839,dwaasheid,[-1]
840,dwalen,[-1]
841,dwaling,[-1]
842,dwang,[-1]
843,dwangmatig,[-1]
844,dwars,[-1]
845,dwarsbomen,[-1]
846,dwerg,[-1]
847,dwingen,[-1]
848,dynamic,[1]
849,dynamisch,[1]
850,dynamische,[1]
851,easy,[1]
852,echt,[1]
853,economisch,[1]
854,edel,[1]
855,edele,[1]
856,edelsteen,[1]
857,edelstenen,[1]
858,eenduidig,[1]
859,eenheid,[1]
860,eenvoudig,[1]
861,eenvoudiger,[1]
862,eenvoudigste,[1]
863,eenzaam,[-1]
864,eenzaamheid,[-1]
865,eenzame,[-1]
866,eer,[1]
867,eerbetoon,[1]
